clause_id,clause_type,density,nearest,score,level,percentile_in_category
asn_047_4bfcbb,Anti-Assignment,1.0,0.613591194152832,0.8454364776611328,Highly Standard,0.864
asn_048_7ffad5,Anti-Assignment,0.05,0.32779690623283386,0.16111876249313356,Highly Atypical,0.086
asn_049_645594,Anti-Assignment,0.5,0.5050358772277832,0.5020143508911132,Standard,0.3
asn_050_ef46f8,Anti-Assignment,0.1,0.32028013467788696,0.1881120538711548,Highly Atypical,0.114
asn_051_b5577a,Anti-Assignment,1.0,0.4846877455711365,0.7938750982284546,Standard,0.514
asn_052_5bfdb8,Anti-Assignment,1.0,0.6323927044868469,0.8529570817947387,Highly Standard,0.936
asn_053_d708ea,Anti-Assignment,1.0,0.7608520984649658,0.9043408393859863,Highly Standard,0.993
asn_054_f7f8e1,Anti-Assignment,1.0,0.47104713320732117,0.7884188532829285,Standard,0.486
asn_055_65adfe,Anti-Assignment,1.0,0.5661495923995972,0.8264598369598388,Standard,0.714
asn_056_bf9a9a,Anti-Assignment,1.0,0.4994035065174103,0.7997614026069642,Standard,0.593
asn_057_f11f2d,Anti-Assignment,0.3,0.4165239930152893,0.3466095972061157,Mixed,0.229
asn_058_94725b,Anti-Assignment,1.0,0.4994035065174103,0.7997614026069642,Standard,0.593
asn_059_30708e,Anti-Assignment,0.6,0.4350200891494751,0.53400803565979,Standard,0.329
asn_060_da3004,Anti-Assignment,1.0,0.4854409992694855,0.7941763997077942,Standard,0.529
asn_061_fb476c,Anti-Assignment,1.0,0.5963208079338074,0.838528323173523,Highly Standard,0.814
asn_062_e35b9d,Anti-Assignment,1.0,0.6166781783103943,0.8466712713241578,Highly Standard,0.886
asn_063_15f431,Anti-Assignment,1.0,0.5570403337478638,0.8228161334991455,Standard,0.7
asn_064_8c994c,Anti-Assignment,1.0,0.6130881309509277,0.8452352523803711,Highly Standard,0.843
asn_065_7f8b07,Anti-Assignment,0.2,0.49511486291885376,0.3180459451675415,Mixed,0.2
asn_066_8ecf0c,Anti-Assignment,1.0,0.588223397731781,0.8352893590927124,Highly Standard,0.8
asn_067_3e4e76,Anti-Assignment,1.0,0.5824860334396362,0.8329944133758544,Highly Standard,0.786
asn_068_639dbd,Anti-Assignment,0.0,0.18865972757339478,0.07546389102935791,Highly Atypical,0.014
asn_069_248d1d,Anti-Assignment,1.0,0.5716739892959595,0.8286695957183838,Standard,0.757
law_000_f687c4,Governing Law,1.0,0.6606355905532837,0.8642542362213135,Highly Standard,0.586
law_001_494e2f,Governing Law,1.0,0.47774070501327515,0.79109628200531,Standard,0.229
law_002_5cecc2,Governing Law,1.0,0.7096872329711914,0.8838748931884766,Highly Standard,0.707
law_003_0df340,Governing Law,1.0,0.5277001261711121,0.8110800504684448,Standard,0.329
law_004_01e49a,Governing Law,1.0,0.5788068771362305,0.8315227508544922,Highly Standard,0.429
law_005_c2fec2,Governing Law,1.0,0.6761565208435059,0.8704626083374023,Highly Standard,0.657
law_006_14ddf1,Governing Law,0.15,0.3522605895996094,0.23090423583984376,Atypical,0.029
law_007_837748,Governing Law,1.0,0.786533772945404,0.9146135091781616,Highly Standard,0.871
law_008_a45bcf,Governing Law,1.0,0.47850820422172546,0.7914032816886902,Standard,0.243
law_009_97f1e7,Governing Law,0.65,0.421221524477005,0.5584886097908021,Standard,0.157
law_010_cc29ec,Governing Law,1.0,0.8274682760238647,0.9309873104095459,Highly Standard,0.936
law_011_84c139,Governing Law,1.0,0.4926449656486511,0.7970579862594604,Standard,0.271
law_012_b49dc8,Governing Law,0.75,0.44381964206695557,0.6275278568267821,Standard,0.186
law_013_e857b0,Governing Law,1.0,0.7454103231430054,0.8981641292572021,Highly Standard,0.786
law_014_cda73f,Governing Law,1.0,0.6612380743026733,0.8644952297210693,Highly Standard,0.607
law_015_3cc200,Governing Law,0.4,0.476845920085907,0.43073836803436283,Mixed,0.086
law_016_8b5fe8,Governing Law,1.0,0.8448159694671631,0.9379263877868652,Highly Standard,0.993
law_017_2a8e5b,Governing Law,1.0,0.5380973815917969,0.8152389526367188,Standard,0.343
law_018_6bf1e2,Governing Law,1.0,0.7601445913314819,0.9040578365325928,Highly Standard,0.857
law_019_65b889,Governing Law,1.0,0.7096872329711914,0.8838748931884766,Highly Standard,0.707
law_020_439125,Governing Law,1.0,0.7300363779067993,0.8920145511627198,Highly Standard,0.757
law_021_a7e2d9,Governing Law,1.0,0.5659292936325073,0.826371717453003,Standard,0.379
law_022_f3b22e,Governing Law,1.0,0.8274682760238647,0.9309873104095459,Highly Standard,0.936
law_023_85f2d4,Governing Law,1.0,0.8397364616394043,0.9358945846557617,Highly Standard,0.964
law_024_b4571b,Governing Law,1.0,0.6612380743026733,0.8644952297210693,Highly Standard,0.607
law_025_4dbf0c,Governing Law,1.0,0.6034435629844666,0.8413774251937867,Highly Standard,0.514
law_026_7260bc,Governing Law,1.0,0.8448159694671631,0.9379263877868652,Highly Standard,0.993
law_027_6ae535,Governing Law,1.0,0.5835657119750977,0.8334262847900391,Highly Standard,0.457
law_028_ede775,Governing Law,1.0,0.5662691593170166,0.8265076637268066,Standard,0.4
law_029_68a360,Governing Law,1.0,0.6620766520500183,0.8648306608200074,Highly Standard,0.636
law_030_50e3db,Governing Law,1.0,0.48589205741882324,0.7943568229675293,Standard,0.257
law_031_77c69f,Governing Law,0.15,0.42397236824035645,0.25958894729614257,Atypical,0.043
law_032_ddc549,Governing Law,1.0,0.7440435290336609,0.8976174116134643,Highly Standard,0.771
law_033_1240f9,Governing Law,1.0,0.41419845819473267,0.7656793832778931,Standard,0.2
law_034_6f78aa,Governing Law,1.0,0.5581868290901184,0.8232747316360474,Standard,0.357
law_035_d3d142,Governing Law,0.55,0.36390694975852966,0.4755627799034119,Mixed,0.114
law_036_17a770,Governing Law,0.25,0.42397236824035645,0.3195889472961426,Mixed,0.071
law_037_7d7ae7,Governing Law,1.0,0.5682072639465332,0.8272829055786133,Standard,0.414
law_038_08a2ff,Governing Law,1.0,0.7293614149093628,0.8917445659637451,Highly Standard,0.743
law_039_120377,Governing Law,1.0,0.5659292936325073,0.826371717453003,Standard,0.379
law_040_2360cb,Governing Law,0.0,0.2865929901599884,0.11463719606399536,Highly Atypical,0.014
law_041_fad41c,Governing Law,1.0,0.6266188621520996,0.8506475448608398,Highly Standard,0.529
law_042_ae77dc,Governing Law,1.0,0.5275499820709229,0.8110199928283691,Standard,0.314
law_043_1a78ac,Governing Law,1.0,0.7543767094612122,0.9017506837844849,Highly Standard,0.829
law_044_0e0c76,Governing Law,1.0,0.5828555822372437,0.8331422328948974,Highly Standard,0.443
law_045_d013c5,Governing Law,1.0,0.6851512789726257,0.8740605115890503,Highly Standard,0.671
law_046_7dfcd9,Governing Law,1.0,0.6589697599411011,0.8635879039764405,Highly Standard,0.571
law_047_7355c8,Governing Law,1.0,0.4935298562049866,0.7974119424819947,Standard,0.286
law_048_bec7af,Governing Law,1.0,0.7067618370056152,0.8827047348022461,Highly Standard,0.686
law_049_f8f2ef,Governing Law,1.0,0.8397364616394043,0.9358945846557617,Highly Standard,0.964
law_050_b36dfc,Governing Law,1.0,0.5859675407409668,0.8343870162963867,Highly Standard,0.471
law_051_c94b6b,Governing Law,0.7,0.4776071310043335,0.6110428524017334,Standard,0.171
law_052_9e9e9b,Governing Law,1.0,0.5217747688293457,0.8087099075317383,Standard,0.3
law_053_3a9fa7,Governing Law,1.0,0.597716212272644,0.8390864849090576,Highly Standard,0.5
